Treat,Sex,Grade,AikPos,AikNeg,AfAm,AmInd,Cauc,MexAm,AsPIFi,PR,Other,Pretest,CRNum,CRAlg,CRSpace,CRMeas,CRCD,GradeExp,Outcome
0,0,9,36,15,0,0,1,0,0,0,0,23,1,2,2,2,1,4,32
0,1,9,31,14,0,0,1,0,0,0,0,23,4,1,3,2,1,4,32
0,0,9,25,27,0,0,1,0,0,0,0,24,2,1,2,2,1,4,38
0,1,9,30,33,0,0,1,0,0,0,0,24,1,1,2,2,1,3,33
0,0,10,24,32,0,0,1,0,0,0,0,25,2,1,2,2,1,2,31
0,0,10,27,30,0,0,1,0,0,0,0,26,2,1,1,2,3,3,36
0,0,9,31,30,0,0,1,0,0,0,0,27,1,1,1,2,1,4,32
0,0,9,38,9,0,0,1,0,0,0,0,27,2,1,2,2,1,3,35
0,0,9,30,25,0,0,1,0,0,0,0,27,1,1,1,2,1,3,32
0,0,9,31,24,0,0,1,0,0,0,0,27,2,1,2,2,1,3,35
0,0,9,16,33,1,0,0,0,0,0,0,27,1,1,2,2,1,2,26
0,0,9,22,26,0,0,1,0,0,0,0,27,2,2,2,2,1,3,29
0,0,10,16,30,1,0,0,0,0,0,0,28,2,1,2,1,1,2,27
0,0,9,31,25,0,0,1,0,0,0,0,28,2,1,2,1,1,4,36
0,0,9,34,21,0,0,1,0,0,0,0,28,1,1,2,2,1,3,38
0,1,9,34,16,0,0,1,0,0,0,0,28,2,1,2,3,1,3,34
0,1,9,25,27,0,0,1,0,0,0,0,28,2,1,2,1,1,4,33
0,0,10,18,29,0,0,1,0,0,0,0,29,4,1,2,1,1,2,34
0,1,9,28,21,0,0,1,0,0,0,0,29,1,2,2,2,1,4,31
0,1,9,26,21,0,0,1,0,0,0,0,29,3,1,2,2,2,3,44
0,1,9,24,29,0,0,1,0,0,0,0,29,1,1,1,2,1,3,33
0,0,10,18,36,0,0,1,0,0,0,0,29,2,3,2,3,1,0,36
0,0,9,37,6,0,0,0,1,0,0,0,29,2,2,1,3,2,3,35
0,1,10,21,25,0,0,1,0,0,0,0,29,1,1,4,1,1,3,31
0,0,12,24,23,0,0,1,0,0,0,0,29,3,1,2,2,2,3,43
0,1,9,28,19,0,0,1,0,0,0,0,30,2,2,1,2,1,3,38
0,0,9,38,21,0,0,0,0,0,1,0,30,1,1,2,1,1,3,42
0,1,10,26,20,0,0,1,0,0,0,0,30,2,1,3,2,1,2,38
0,1,9,31,21,0,0,1,0,0,0,0,30,1,1,3,2,2,3,33
0,0,10,24,22,0,0,1,0,0,0,0,30,2,1,3,2,1,3,31
0,1,9,30,19,0,0,1,0,0,0,0,31,1,4,1,1,2,4,35
0,0,9,24,27,0,0,1,0,0,0,0,31,1,1,2,1,1,4,33
0,1,9,20,24,0,0,1,0,0,0,0,31,2,2,1,2,1,4,41
0,1,9,33,14,0,0,0,0,1,0,0,31,2,2,2,3,1,4,42
0,1,9,32,15,0,0,1,0,0,0,0,31,1,2,1,2,1,4,44
0,1,9,27,28,0,0,1,0,0,0,0,31,1,1,3,2,1,3,35
0,0,10,21,30,0,0,1,0,0,0,0,31,1,2,2,2,1,3,38
0,1,10,26,21,1,0,0,0,0,0,0,31,2,1,1,1,1,3,34
0,0,9,21,28,1,0,0,0,0,0,0,31,2,2,2,2,1,3,30
0,0,9,17,38,0,0,1,0,0,0,0,31,1,2,2,2,1,4,33
0,1,10,30,21,0,0,1,0,0,0,0,31,2,1,2,2,1,3,25
0,1,10,30,21,0,0,1,0,0,0,0,31,2,1,2,2,1,3,30
0,0,9,24,22,0,0,1,0,0,0,0,32,4,1,3,2,1,3,34
0,0,9,23,32,0,0,1,0,0,0,0,32,3,2,3,2,1,4,34
0,1,9,32,20,0,0,1,0,0,0,0,32,2,2,2,3,1,4,43
0,1,10,37,13,0,0,1,0,0,0,0,32,2,1,2,1,1,2,31
0,1,9,38,16,1,0,0,0,0,0,0,32,1,2,2,2,2,4,25
0,1,9,31,25,0,0,1,0,0,0,0,33,2,2,3,1,1,4,45
0,1,9,40,7,0,0,1,0,0,0,0,33,2,2,1,2,1,4,39
0,1,9,42,1,1,0,0,0,0,0,0,33,2,1,2,2,1,4,38
0,1,10,18,30,1,0,0,0,0,0,0,33,2,2,1,3,1,4,30
0,0,9,20,35,0,0,1,0,0,0,0,33,2,1,2,2,1,3,36
0,1,9,28,21,0,0,1,0,0,0,0,33,1,2,2,2,3,4,40
